Model,Accuracy,Precision,Recall,F1-score
Decision Tree,0.975,0.9911504424778761,0.9655172413793104,0.9781659388646288
Naive Bayes,0.94,0.9333333333333333,0.9655172413793104,0.9491525423728814
KNN,0.935,0.9401709401709402,0.9482758620689655,0.944206008583691
