Model,Accuracy,Precision,Recall,F1-score
Decision Tree,0.7563249001331558,0.20689655172413793,0.20869565217391303,0.2077922077922078
Naive Bayes,0.8268974700399467,0.38095238095238093,0.20869565217391303,0.2696629213483146
KNN,0.8175765645805593,0.2708333333333333,0.11304347826086956,0.15950920245398773
